0,Latitude,Longitude,Latitude,Longitude,Latitude,Longitude
2.51,1.353375808,103.840735,1.348420464,103.8392812,1.339083,103.852493
,1.351332534,103.839941,1.347953889,103.8403541,1.343148,103.853641
,1.348420464,103.8392812,1.347020738,103.8413304,1.352936049,103.8520056
,,,1.346838398,103.8421458,,
,,,1.347932437,103.8441467,,
,,,1.348693973,103.8461208,,
,,,1.348441915,103.8473653,,
,,,1.343985,103.846324,,
,,,1.343813,103.849543,,
,,,1.342344,103.849339,,
,,,1.342387,103.848545,,
,,,1.340767,103.848524,,
,,,1.3407,103.8472,,
